WardID,WardName,DistrictID,DistrictName,ProvinceID,ProvinceName,Region,SubRegion,VSD,Country,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude
26734,Phường Tân Định,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26737,Phường Đa Kao,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26740,Phường Bến Nghé,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26743,Phường Bến Thành,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26746,Phường Nguyễn Thái Bình,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26749,Phường Phạm Ngũ Lão,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26752,Phường Cầu Ông Lãnh,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26755,Phường Cô Giang,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26758,Phường Nguyễn Cư Trinh,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
26761,Phường Cầu Kho,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.13_1,VNM.25_1,Quận 1,Hồ Chí Minh,10.7758,106.7003981
27088,Phường Thảo Điền,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27091,Phường An Phú,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27094,Phường Bình An,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27097,Phường Bình Trưng Đông,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27100,Phường Bình Trưng Tây,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27103,Phường Bình Khánh,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27106,Phường An Khánh,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27109,Phường Cát Lái,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27112,Phường Thạnh Mỹ Lợi,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27115,Phường An Lợi Đông,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27118,Phường Thủ Thiêm,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.14_1,VNM.25_1,Quận 2,Hồ Chí Minh,10.7803,106.7483976
27121,Phường 08,3,Quận 3,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.15_1,VNM.25_1,Quận 3,Hồ Chí Minh,10.78035,106.6862834
27124,Phường 07,3,Quận 3,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.15_1,VNM.25_1,Quận 3,Hồ Chí Minh,10.78035,106.6862834
27127,Phường 14,3,Quận 3,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.15_1,VNM.25_1,Quận 3,Hồ Chí Minh,10.78035,106.6862834
27130,Phường 12,3,Quận 3,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,VNM.25.15_1,VNM.25_1,Quận 3,Hồ Chí Minh,10.78035,106.6862834
