WardID,WardName,DistrictID,DistrictName,ProvinceID,ProvinceName,Region,SubRegion,VSD,Country,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude,GID_3,NAME_3,Ward_Lat,Ward_Lon
26734,Phường Tân Định,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26734,Tân Định,10.792719,106.690728
26737,Phường Đa Kao,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26737,Đa Kao,10.788984,106.698555
26740,Phường Bến Nghé,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26740,Bến Nghé,10.780508,106.704764
26743,Phường Bến Thành,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26743,Bến Thành,10.773499,106.694123
26746,Phường Nguyễn Thái Bình,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26746,Nguyễn Thái Bình,10.768678,106.701589
26749,Phường Phạm Ngũ Lão,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26749,Phạm Ngũ Lão,10.767941,106.690382
26752,Phường Cầu Ông Lãnh,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26752,Cầu Ông Lãnh,10.765436,106.696898
26755,Phường Cô Giang,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26755,Cô Giang,10.762281,106.693538
26758,Phường Nguyễn Cư Trinh,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26758,Nguyễn Cư Trinh,10.762993,106.686213
26761,Phường Cầu Kho,1,Quận 1,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,760,79,1,TP. Hồ Chí Minh,10.7758,106.7003981,26761,Cầu Kho,10.757543,106.688874
27088,Phường Thảo Điền,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78801,Thảo Điền,10.808082,106.733444
27091,Phường An Phú,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78802,An Phú,10.798727,106.75756
27094,Phường Bình An,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78805,An Khánh,10.791235,106.730293
27097,Phường Bình Trưng Đông,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78803,Bình Trưng Đông,10.784065,106.778644
27100,Phường Bình Trưng Tây,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78804,Bình Trưng Tây,10.784026,106.757848
27103,Phường Bình Khánh,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,787,79,Cần Giờ,TP. Hồ Chí Minh,10.7803,106.7483976,27667,Bình Khánh,10.782388,106.737425
27106,Phường An Khánh,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78805,An Khánh,10.780453,106.717763
27109,Phường Cát Lái,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78806,Cát Lái,10.769787,106.78889
27112,Phường Thạnh Mỹ Lợi,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78807,Thạnh Mỹ Lợi,10.75993,106.764036
27115,Phường An Lợi Đông,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78808,An Lợi Đông,10.768561,106.726379
27118,Phường Thủ Thiêm,2,Quận 2,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,788,79,Thủ Đức,TP. Hồ Chí Minh,10.7803,106.7483976,78809,Thủ Thiêm,10.772047,106.715541
27121,Phường 08,3,Quận 3,1,Hồ Chí Minh,HCM,HCM,Phan Dương Vũ,Việt Nam,770,79,3,TP. Hồ Chí Minh,10.78035,106.6862834,27161,Võ Thị Sáu,10.789108,106.687337
